TransactionID,CustomerID,Product,Date
10001,C105,cà phê,2025-08-15
10001,C105,nước mắm,2025-08-15
10001,C105,trứng gà,2025-08-15
10001,C105,muối,2025-08-15
10001,C105,bánh quy,2025-08-15
10001,C105,bánh mì,2025-08-15
10001,C105,nước ngọt,2025-08-15
10001,C105,sữa tươi,2025-08-15
10001,C105,mì gói,2025-08-15
10001,C105,gạo,2025-08-15
10002,C175,dầu ăn,2025-08-12
10002,C175,cà phê,2025-08-12
10002,C175,nước mắm,2025-08-12
10002,C175,bánh quy,2025-08-12
10002,C175,nước ngọt,2025-08-12
10002,C175,nước rửa chén,2025-08-12
10002,C175,bột giặt,2025-08-12
10002,C175,mì gói,2025-08-12
10002,C175,gạo,2025-08-12
10002,C175,rau cải,2025-08-12
10003,C113,dầu ăn,2025-08-07
10003,C113,nước mắm,2025-08-07
10003,C113,đường,2025-08-07
10003,C113,mì gói,2025-08-07
10003,C113,gạo,2025-08-07
10004,C124,xà phòng,2025-08-28
10004,C124,cà phê,2025-08-28
10004,C124,bánh ngọt,2025-08-28
10004,C124,bánh quy,2025-08-28
10004,C124,bánh mì,2025-08-28
10004,C124,nước ngọt,2025-08-28
10004,C124,mì gói,2025-08-28
10004,C124,bột giặt,2025-08-28
10005,C171,dầu ăn,2025-08-21
10005,C171,sữa chua,2025-08-21
10005,C171,bánh mì,2025-08-21
10005,C171,nước ngọt,2025-08-21
10005,C171,thịt heo,2025-08-21
10005,C171,nước suối,2025-08-21
10005,C171,mì gói,2025-08-21
10006,C193,cà phê,2025-08-07
10006,C193,trứng gà,2025-08-07
10006,C193,bánh quy,2025-08-07
10006,C193,nước ngọt,2025-08-07
10006,C193,mì gói,2025-08-07
10006,C193,bột giặt,2025-08-07
10007,C156,cà phê,2025-08-16
10007,C156,muối,2025-08-16
10007,C156,bánh mì,2025-08-16
10007,C156,nước ngọt,2025-08-16
10007,C156,sữa tươi,2025-08-16
10007,C156,mì gói,2025-08-16
10007,C156,rau cải,2025-08-16
10008,C145,nước mắm,2025-08-03
10008,C145,sữa chua,2025-08-03
10008,C145,bánh mì,2025-08-03
10008,C145,nước ngọt,2025-08-03
10008,C145,bánh tráng,2025-08-03
10008,C145,sữa tươi,2025-08-03
10008,C145,mì gói,2025-08-03
10008,C145,gạo,2025-08-03
10009,C120,xà phòng,2025-08-11
10009,C120,cá basa,2025-08-11
10009,C120,bánh ngọt,2025-08-11
10009,C120,bánh mì,2025-08-11
10009,C120,nước ngọt,2025-08-11
10009,C120,bánh tráng,2025-08-11
10009,C120,sữa tươi,2025-08-11
10009,C120,mì gói,2025-08-11
10010,C195,bột canh,2025-08-17
10010,C195,cà phê,2025-08-17
10010,C195,nước mắm,2025-08-17
10010,C195,bánh quy,2025-08-17
10010,C195,bánh mì,2025-08-17
10010,C195,đường,2025-08-17
10010,C195,nước ngọt,2025-08-17
10010,C195,thịt heo,2025-08-17
10010,C195,sữa tươi,2025-08-17
10010,C195,mì gói,2025-08-17
10010,C195,gạo,2025-08-17
10011,C164,xà phòng,2025-08-24
10011,C164,nước mắm,2025-08-24
10011,C164,bánh mì,2025-08-24
10011,C164,nước ngọt,2025-08-24
10011,C164,sữa tươi,2025-08-24
10011,C164,bột giặt,2025-08-24
10011,C164,mì gói,2025-08-24
10011,C164,gạo,2025-08-24
10012,C145,cà phê,2025-08-08
